                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   48659943 |   40444073 |   42525182 |   44528180 |   46353356 |   42315771 |   44573723 |   46657540
  Cycles                             |   19744182 |   19744182 |   19744182 |   19744182 |   19744182 |   19744182 |   19744182 |   19744182
  IPC                                |       2.46 |       2.05 |       2.15 |       2.26 |       2.35 |       2.14 |       2.26 |       2.36
  Time (ns)                          |    7422625 |    7422625 |    7422625 |    7422625 |    7422625 |    7422625 |    7422625 |    7422625
  Idle time (ns)                     |    1138888 |    2176901 |    1915346 |    1696362 |    1444183 |    1911837 |    1656829 |    1416828
  Idle time (%)                      |      15.3% |      29.3% |      25.8% |      22.9% |      19.5% |      25.8% |      22.3% |      19.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    5447519 |    4531769 |    4764952 |    4986380 |    5190672 |    4743189 |    4993047 |    5226181
  num incorrect                      |       4191 |       4164 |       3899 |       4163 |       3913 |       4014 |       4245 |       4001
  misprediction rate                 |      0.08% |      0.09% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08%
  mpki                               |       0.09 |       0.10 |       0.09 |       0.09 |       0.08 |       0.09 |       0.10 |       0.09
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    7655423 |    6325958 |    6666871 |    6995571 |    7295794 |    6615731 |    6985358 |    7326869
    num misses                       |         29 |         31 |         31 |         31 |         31 |         31 |         31 |         31
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   15220115 |   12689618 |   13328569 |   13944566 |   14504880 |   13269249 |   13963681 |   14603825
    num misses                       |      24329 |      20474 |      21412 |      22262 |      23126 |      21538 |      22520 |      23490
    miss rate                        |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.50 |       0.51 |       0.50 |       0.50 |       0.50 |       0.51 |       0.51 |       0.50
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      24358 |      20505 |      21443 |      22293 |      23157 |      21569 |      22551 |      23521
    num misses                       |       8468 |       6606 |       6844 |       7057 |       7249 |       7862 |       8098 |       8369
    miss rate                        |     34.76% |     32.22% |     31.92% |     31.66% |     31.30% |     36.45% |     35.91% |     35.58%
    mpki                             |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.19 |       0.18 |       0.18
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    7655423 |    6325958 |    6666871 |    6995571 |    7295794 |    6615731 |    6985358 |    7326869
    num cache misses                 |       1218 |        918 |        945 |       1196 |       1141 |        837 |       1020 |       1190
    miss rate                        |      0.02% |      0.01% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.02%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   15220115 |   12689618 |   13328569 |   13944566 |   14504880 |   13269249 |   13963681 |   14603825
    num cache misses                 |    1191316 |     986604 |    1038904 |    1092485 |    1134322 |    1033304 |    1089328 |    1145684
    miss rate                        |      7.83% |      7.77% |      7.79% |      7.83% |      7.82% |      7.79% |      7.80% |      7.85%
    mpki                             |      24.48 |      24.39 |      24.43 |      24.53 |      24.47 |      24.42 |      24.44 |      24.56
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1192667 |     987663 |    1040000 |    1093835 |    1139684 |    1038379 |    1094555 |    1151077
    num cache misses                 |      99530 |      82718 |      87242 |      91066 |      94837 |      87087 |      91521 |      95825
    miss rate                        |      8.35% |      8.38% |      8.39% |      8.33% |      8.32% |      8.39% |      8.36% |      8.32%
    mpki                             |       2.05 |       2.05 |       2.05 |       2.05 |       2.05 |       2.06 |       2.05 |       2.05
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      99662 |      82859 |      87392 |      91219 |      99055 |      91321 |      95725 |     100027
    num cache misses                 |       9613 |       3409 |       3569 |       3671 |      13264 |       7803 |       7831 |       7944
    miss rate                        |      9.65% |      4.11% |      4.08% |      4.02% |     13.39% |      8.54% |      8.18% |      7.94%
    mpki                             |       0.20 |       0.08 |       0.08 |       0.08 |       0.29 |       0.18 |       0.18 |       0.17
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        439 |          0 |          0 |          0 |        402 |          0 |          0 |          0
  average dram access latency (ns)   |      87.43 |        inf |        inf |        inf |      75.51 |        inf |        inf |        inf
  average dram queueing delay        |      34.00 |       0.00 |       0.00 |       0.00 |      22.08 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         77 |         41 |         43 |         49 |         30 |         58 |         33 |         39
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       9211 |       3080 |       3244 |       3298 |      12848 |       7398 |       7474 |       7536
