                                     | Core 0     | Core 1    
  Instructions                       |  149834424 |  150024039
  Cycles                             |  174321094 |  174321094
  IPC                                |       0.86 |       0.86
  Time (ns)                          |   65534246 |   65534246
  Idle time (ns)                     |    4409366 |    2245225
  Idle time (%)                      |       6.7% |       3.4%
Branch predictor stats               |            |           
  num correct                        |    7102343 |    7116436
  num incorrect                      |      33923 |      33168
  misprediction rate                 |      0.48% |      0.46%
  mpki                               |       0.23 |       0.22
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   15123891 |   15114435
    num misses                       |         64 |         62
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   56504007 |   56598261
    num misses                       |     130039 |     131529
    miss rate                        |      0.23% |      0.23%
    mpki                             |       0.87 |       0.88
  L2 TLB                             |            |           
    num accesses                     |     130103 |     131591
    num misses                       |      33067 |      32156
    miss rate                        |     25.42% |     24.44%
    mpki                             |       0.22 |       0.21
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   15123891 |   15114435
    num cache misses                 |      33548 |      32961
    miss rate                        |      0.22% |      0.22%
    mpki                             |       0.22 |       0.22
  Cache L1-D                         |            |           
    num cache accesses               |   56504007 |   56598261
    num cache misses                 |    5132577 |    5132489
    miss rate                        |      9.08% |      9.07%
    mpki                             |      34.25 |      34.21
  Cache L2                           |            |           
    num cache accesses               |    5234138 |    5234402
    num cache misses                 |    4493967 |    4490743
    miss rate                        |     85.86% |     85.79%
    mpki                             |      29.99 |      29.93
  Cache L3                           |            |           
    num cache accesses               |    4562020 |    4559762
    num cache misses                 |     753117 |     755271
    miss rate                        |     16.51% |     16.56%
    mpki                             |       5.03 |       5.03
DRAM summary                         |            |           
  num dram accesses                  |    2725871 |          0
  average dram access latency (ns)   |    9745.62 |        inf
  average dram queueing delay        |    9692.19 |       0.00
  average dram bandwidth utilization |     35.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |     596357 |     603613
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
