                                     | Core 0     | Core 1    
  Instructions                       |  168830953 |  168941005
  Cycles                             |  218978077 |  218978077
  IPC                                |       0.77 |       0.77
  Time (ns)                          |   82322586 |   82322586
  Idle time (ns)                     |    2261449 |    6514228
  Idle time (%)                      |       2.7% |       7.9%
Branch predictor stats               |            |           
  num correct                        |    7266487 |    7261447
  num incorrect                      |      15523 |      15835
  misprediction rate                 |      0.21% |      0.22%
  mpki                               |       0.09 |       0.09
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   17027433 |   17019549
    num misses                       |         61 |         60
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   57946206 |   57998749
    num misses                       |    5483683 |    5504870
    miss rate                        |      9.46% |      9.49%
    mpki                             |      32.48 |      32.58
  L2 TLB                             |            |           
    num accesses                     |    5483744 |    5504930
    num misses                       |    4309537 |    2372875
    miss rate                        |     78.59% |     43.10%
    mpki                             |      25.53 |      14.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   17027433 |   17019549
    num cache misses                 |      16741 |      20917
    miss rate                        |      0.10% |      0.12%
    mpki                             |       0.10 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |   57946206 |   57998749
    num cache misses                 |    9151898 |    9123833
    miss rate                        |     15.79% |     15.73%
    mpki                             |      54.21 |      54.01
  Cache L2                           |            |           
    num cache accesses               |    9264809 |    9244282
    num cache misses                 |    4990262 |    4989387
    miss rate                        |     53.86% |     53.97%
    mpki                             |      29.56 |      29.53
  Cache L3                           |            |           
    num cache accesses               |    5086547 |    5089462
    num cache misses                 |     975499 |     968649
    miss rate                        |     19.18% |     19.03%
    mpki                             |       5.78 |       5.73
DRAM summary                         |            |           
  num dram accesses                  |    3341339 |          0
  average dram access latency (ns)   |    5788.72 |        inf
  average dram queueing delay        |    5735.29 |       0.00
  average dram bandwidth utilization |     34.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |     621260 |     612714
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
