                                     | Core 0     | Core 1    
  Instructions                       |  181378058 |  173217136
  Cycles                             |   64189855 |   64189855
  IPC                                |       2.83 |       2.70
  Time (ns)                          |   24131525 |   24131525
  Idle time (ns)                     |    1162874 |    2322650
  Idle time (%)                      |       4.8% |       9.6%
Branch predictor stats               |            |           
  num correct                        |   20315386 |   19407188
  num incorrect                      |      12555 |      13124
  misprediction rate                 |      0.06% |      0.07%
  mpki                               |       0.07 |       0.08
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   28508309 |   27169797
    num misses                       |         17 |         31
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   56423286 |   53916383
    num misses                       |      89907 |      86169
    miss rate                        |      0.16% |      0.16%
    mpki                             |       0.50 |       0.50
  L2 TLB                             |            |           
    num accesses                     |      89924 |      86200
    num misses                       |      32877 |      32045
    miss rate                        |     36.56% |     37.18%
    mpki                             |       0.18 |       0.18
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   28508309 |   27169797
    num cache misses                 |       2904 |       2782
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |   56423286 |   53916383
    num cache misses                 |    4449941 |    4253758
    miss rate                        |      7.89% |      7.89%
    mpki                             |      24.53 |      24.56
  Cache L2                           |            |           
    num cache accesses               |    4452901 |    4256632
    num cache misses                 |     361192 |     344986
    miss rate                        |      8.11% |      8.10%
    mpki                             |       1.99 |       1.99
  Cache L3                           |            |           
    num cache accesses               |     361248 |     345078
    num cache misses                 |        126 |        249
    miss rate                        |      0.03% |      0.07%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |        375 |          0
  average dram access latency (ns)   |      89.70 |        inf
  average dram queueing delay        |      36.27 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         11 |         45
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
