                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  211795259 |  232559290 |  222716664 |  217798948 |  231206575 |  232194882 |  208510968 |  224181801
  Cycles                             |  258886957 |  258886957 |  258886957 |  258886957 |  258886957 |  258886957 |  258886957 |  258886957
  IPC                                |       0.82 |       0.90 |       0.86 |       0.84 |       0.89 |       0.90 |       0.81 |       0.87
  Time (ns)                          |   97325924 |   97325924 |   97325924 |   97325924 |   97325924 |   97325924 |   97325924 |   97325924
  Idle time (ns)                     |    9044783 |    2667274 |    5502064 |    7249129 |    4544060 |    2697705 |    9528265 |    5658356
  Idle time (%)                      |       9.3% |       2.7% |       5.7% |       7.4% |       4.7% |       2.8% |       9.8% |       5.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   12039784 |   12977744 |   12529729 |   12318032 |   12968099 |   12975723 |   11853195 |   12628364
  num incorrect                      |    1461711 |    1481748 |    1484920 |    1460606 |    1408215 |    1510106 |    1496431 |    1448509
  misprediction rate                 |     10.83% |     10.25% |     10.60% |     10.60% |      9.80% |     10.42% |     11.21% |     10.29%
  mpki                               |       6.90 |       6.37 |       6.67 |       6.71 |       6.09 |       6.50 |       7.18 |       6.46
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   21514350 |   23303379 |   22401263 |   22010205 |   23204780 |   23270133 |   21206387 |   22533984
    num misses                       |         47 |         36 |         36 |         36 |         36 |         36 |         36 |         27
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  116071463 |  127405695 |  122003656 |  119334296 |  126708275 |  127150719 |  114335849 |  122780538
    num misses                       |     516665 |     521257 |     542774 |     530781 |     512146 |     516979 |     534804 |     520842
    miss rate                        |      0.45% |      0.41% |      0.44% |      0.44% |      0.40% |      0.41% |      0.47% |      0.42%
    mpki                             |       2.44 |       2.24 |       2.44 |       2.44 |       2.22 |       2.23 |       2.56 |       2.32
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     516712 |     521293 |     542810 |     530817 |     512182 |     517015 |     534840 |     520869
    num misses                       |      47821 |      35354 |      38409 |      41830 |      35116 |      34923 |      45437 |      35782
    miss rate                        |      9.25% |      6.78% |      7.08% |      7.88% |      6.86% |      6.75% |      8.50% |      6.87%
    mpki                             |       0.23 |       0.15 |       0.17 |       0.19 |       0.15 |       0.15 |       0.22 |       0.16
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21514350 |   23303379 |   22401263 |   22010205 |   23204780 |   23270133 |   21206387 |   22533984
    num cache misses                 |       2815 |       2317 |       2377 |       2301 |       2322 |       2307 |       2506 |       2179
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  116071463 |  127405695 |  122003656 |  119334296 |  126708275 |  127150719 |  114335849 |  122780538
    num cache misses                 |    1625176 |    2743080 |    2304801 |    1977504 |    2584824 |    2627939 |    1553078 |    2227049
    miss rate                        |      1.40% |      2.15% |      1.89% |      1.66% |      2.04% |      2.07% |      1.36% |      1.81%
    mpki                             |       7.67 |      11.80 |      10.35 |       9.08 |      11.18 |      11.32 |       7.45 |       9.93
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1641113 |    2754902 |    2318291 |    1995874 |    2599013 |    2641021 |    1571804 |    2246312
    num cache misses                 |     161211 |     125413 |     135419 |     143591 |     126010 |     125048 |     158306 |     133411
    miss rate                        |      9.82% |      4.55% |      5.84% |      7.19% |      4.85% |      4.73% |     10.07% |      5.94%
    mpki                             |       0.76 |       0.54 |       0.61 |       0.66 |       0.55 |       0.54 |       0.76 |       0.60
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     176066 |     137677 |     149074 |     162085 |     140525 |     138391 |     176280 |     153822
    num cache misses                 |      24689 |      23690 |      22864 |      40388 |      29240 |      24870 |      30934 |      42914
    miss rate                        |     14.02% |     17.21% |     15.34% |     24.92% |     20.81% |     17.97% |     17.55% |     27.90%
    mpki                             |       0.12 |       0.10 |       0.10 |       0.19 |       0.13 |       0.11 |       0.15 |       0.19
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      13668 |          0 |          0 |          0 |      13623 |          0 |          0 |          0
  average dram access latency (ns)   |     198.90 |        inf |        inf |        inf |     196.42 |        inf |        inf |        inf
  average dram queueing delay        |     145.47 |       0.00 |       0.00 |       0.00 |     143.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        556 |        333 |        268 |        755 |        241 |        224 |        326 |         66
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      18499 |      18198 |      17954 |      29580 |      22613 |      19175 |      24692 |      36177
