                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   99255668 |   97826327 |   98077576 |   97064393 |   93640148 |   93159549 |   96257793 |   95070455
  Cycles                             |   44880823 |   44880823 |   44880823 |   44880823 |   44880823 |   44880823 |   44880823 |   44880823
  IPC                                |       2.21 |       2.18 |       2.19 |       2.16 |       2.09 |       2.08 |       2.14 |       2.12
  Time (ns)                          |   16872490 |   16872490 |   16872490 |   16872490 |   16872490 |   16872490 |   16872490 |   16872490
  Idle time (ns)                     |     249440 |     452223 |     153773 |     402351 |     581614 |     407659 |     193726 |     544632
  Idle time (%)                      |       1.5% |       2.7% |       0.9% |       2.4% |       3.4% |       2.4% |       1.1% |       3.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    8190189 |    8270690 |    8158760 |    7290946 |    8148588 |    9434594 |    8851805 |   10767468
  num incorrect                      |     100423 |      86125 |      94107 |      85624 |      83602 |      98265 |      84559 |      86999
  misprediction rate                 |      1.21% |      1.03% |      1.14% |      1.16% |      1.02% |      1.03% |      0.95% |      0.80%
  mpki                               |       1.01 |       0.88 |       0.96 |       0.88 |       0.89 |       1.05 |       0.88 |       0.92
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    8304529 |    7977965 |    8115390 |    8309844 |    7655989 |    7221137 |    7638101 |    6940784
    num misses                       |         54 |         54 |         56 |         56 |         54 |         55 |         54 |         55
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   34299963 |   33057835 |   33501961 |   33397473 |   31650478 |   32249253 |   32208795 |   32125722
    num misses                       |      12607 |      14387 |      11851 |      14951 |      13706 |      12224 |      13325 |      12728
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.13 |       0.15 |       0.12 |       0.15 |       0.15 |       0.13 |       0.14 |       0.13
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      12661 |      14441 |      11907 |      15007 |      13760 |      12279 |      13379 |      12783
    num misses                       |       4157 |       4939 |       4200 |       4289 |       4657 |       4092 |       4642 |       4428
    miss rate                        |     32.83% |     34.20% |     35.27% |     28.58% |     33.84% |     33.33% |     34.70% |     34.64%
    mpki                             |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    8304529 |    7977965 |    8115390 |    8309844 |    7655989 |    7221137 |    7638101 |    6940784
    num cache misses                 |      13771 |      13222 |      13034 |      14471 |      11390 |      12830 |      11609 |      10724
    miss rate                        |      0.17% |      0.17% |      0.16% |      0.17% |      0.15% |      0.18% |      0.15% |      0.15%
    mpki                             |       0.14 |       0.14 |       0.13 |       0.15 |       0.12 |       0.14 |       0.12 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   34299963 |   33057835 |   33501961 |   33397473 |   31650478 |   32249253 |   32208795 |   32125722
    num cache misses                 |     437363 |     459162 |     421744 |     412049 |     469221 |     432129 |     439519 |     446353
    miss rate                        |      1.28% |      1.39% |      1.26% |      1.23% |      1.48% |      1.34% |      1.36% |      1.39%
    mpki                             |       4.41 |       4.69 |       4.30 |       4.25 |       5.01 |       4.64 |       4.57 |       4.69
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     482578 |     501235 |     463052 |     456665 |     508969 |     472597 |     480752 |     483849
    num cache misses                 |     195198 |     228401 |     192140 |     188084 |     213905 |     193040 |     210137 |     211984
    miss rate                        |     40.45% |     45.57% |     41.49% |     41.19% |     42.03% |     40.85% |     43.71% |     43.81%
    mpki                             |       1.97 |       2.33 |       1.96 |       1.94 |       2.28 |       2.07 |       2.18 |       2.23
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     226737 |     257331 |     220514 |     218345 |     242360 |     220765 |     239858 |     238828
    num cache misses                 |      81903 |      68615 |      75794 |      84510 |      81916 |      73241 |      79606 |      77496
    miss rate                        |     36.12% |     26.66% |     34.37% |     38.70% |     33.80% |     33.18% |     33.19% |     32.45%
    mpki                             |       0.83 |       0.70 |       0.77 |       0.87 |       0.87 |       0.79 |       0.83 |       0.82
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     378658 |          0 |          0 |          0 |     377951 |          0 |          0 |          0
  average dram access latency (ns)   |   15731.10 |        inf |        inf |        inf |   16662.30 |        inf |        inf |        inf
  average dram queueing delay        |   15677.67 |       0.00 |       0.00 |       0.00 |   16608.87 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     18.00% |      0.00% |      0.00% |      0.00% |     18.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      30648 |      28470 |      29415 |      31148 |      29844 |      30416 |      31130 |      28967
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      25592 |      12919 |      17639 |      38899 |      27530 |      15588 |      23504 |      22731
