                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   16220937 |   16210495 |   16209119 |   16208495 |   16209282 |   16208263 |   16208088 |   16209497
  Cycles                             |    8949017 |    8949017 |    8949017 |    8949017 |    8949017 |    8949017 |    8949017 |    8949017
  IPC                                |       1.81 |       1.81 |       1.81 |       1.81 |       1.81 |       1.81 |       1.81 |       1.81
  Time (ns)                          |    3364292 |    3364292 |    3364292 |    3364292 |    3364292 |    3364292 |    3364292 |    3364292
  Idle time (ns)                     |     100686 |     179033 |     121694 |     177861 |     144587 |     118487 |      67759 |      64819
  Idle time (%)                      |       3.0% |       5.3% |       3.6% |       5.3% |       4.3% |       3.5% |       2.0% |       1.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1189104 |    1187800 |    1187627 |    1187548 |    1187650 |    1187384 |    1187329 |    1187677
  num incorrect                      |      97540 |      97383 |      97369 |      97363 |      97358 |      97483 |      97501 |      97366
  misprediction rate                 |      7.58% |      7.58% |      7.58% |      7.58% |      7.58% |      7.59% |      7.59% |      7.58%
  mpki                               |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.01 |       6.02 |       6.01
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1216868 |    1215580 |    1215450 |    1215411 |    1215457 |    1215343 |    1215316 |    1215483
    num misses                       |         37 |         40 |         42 |         41 |         41 |         42 |         41 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3798579 |    3793441 |    3792915 |    3792639 |    3792927 |    3792505 |    3792418 |    3793019
    num misses                       |      72223 |      72024 |      72178 |      72180 |      72070 |      72015 |      72154 |      72062
    miss rate                        |      1.90% |      1.90% |      1.90% |      1.90% |      1.90% |      1.90% |      1.90% |      1.90%
    mpki                             |       4.45 |       4.44 |       4.45 |       4.45 |       4.45 |       4.44 |       4.45 |       4.45
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      72260 |      72064 |      72220 |      72221 |      72111 |      72057 |      72195 |      72102
    num misses                       |       2494 |       2499 |       2487 |       2470 |       2463 |       2470 |       2464 |       2464
    miss rate                        |      3.45% |      3.47% |      3.44% |      3.42% |      3.42% |      3.43% |      3.41% |      3.42%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1216868 |    1215580 |    1215450 |    1215411 |    1215457 |    1215343 |    1215316 |    1215483
    num cache misses                 |        616 |        562 |        562 |        531 |        528 |        522 |        513 |        516
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3798579 |    3793441 |    3792915 |    3792639 |    3792927 |    3792505 |    3792418 |    3793019
    num cache misses                 |      75881 |      75941 |      75997 |      75909 |      75900 |      75949 |      75910 |      75852
    miss rate                        |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00%
    mpki                             |       4.68 |       4.68 |       4.69 |       4.68 |       4.68 |       4.69 |       4.68 |       4.68
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      76793 |      76993 |      77076 |      76544 |      76654 |      76610 |      76500 |      76470
    num cache misses                 |      74776 |      74459 |      74505 |      74401 |      74380 |      74436 |      74389 |      74339
    miss rate                        |     97.37% |     96.71% |     96.66% |     97.20% |     97.03% |     97.16% |     97.24% |     97.21%
    mpki                             |       4.61 |       4.59 |       4.60 |       4.59 |       4.59 |       4.59 |       4.59 |       4.59
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      75072 |      74949 |      75022 |      74505 |      74606 |      74575 |      74466 |      74441
    num cache misses                 |      27157 |      24405 |      25132 |      26789 |      37837 |      37730 |      37582 |      37767
    miss rate                        |     36.17% |     32.56% |     33.50% |     35.96% |     50.72% |     50.59% |     50.47% |     50.73%
    mpki                             |       1.67 |       1.51 |       1.55 |       1.65 |       2.33 |       2.33 |       2.32 |       2.33
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      84149 |          0 |          0 |          0 |      83906 |          0 |          0 |          0
  average dram access latency (ns)   |    2928.97 |        inf |        inf |        inf |    3075.86 |        inf |        inf |        inf
  average dram queueing delay        |    2875.54 |       0.00 |       0.00 |       0.00 |    3022.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     21.00% |      0.00% |      0.00% |      0.00% |     21.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       7698 |       5693 |       6633 |       7361 |       5060 |       5494 |       6023 |       4734
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8234 |       8229 |       8275 |       8228 |      20137 |      19513 |      18902 |      20373
