                                     | Core 0    
  Instructions                       |  354345062
  Cycles                             |  117843809
  IPC                                |       3.01
  Time (ns)                          |   44302184
  Idle time (ns)                     |     140176
  Idle time (%)                      |       0.3%
Branch predictor stats               |           
  num correct                        |   39695534
  num incorrect                      |      24026
  misprediction rate                 |      0.06%
  mpki                               |       0.07
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   55645807
    num misses                       |         12
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  110139781
    num misses                       |     175342
    miss rate                        |      0.16%
    mpki                             |       0.49
  L2 TLB                             |           
    num accesses                     |     175354
    num misses                       |      64283
    miss rate                        |     36.66%
    mpki                             |       0.18
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   55645807
    num cache misses                 |       5115
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |  110139781
    num cache misses                 |    8703236
    miss rate                        |      7.90%
    mpki                             |      24.56
  Cache L2                           |           
    num cache accesses               |    8708459
    num cache misses                 |     704240
    miss rate                        |      8.09%
    mpki                             |       1.99
  Cache L3                           |           
    num cache accesses               |     704348
    num cache misses                 |        202
    miss rate                        |      0.03%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |        200
  average dram access latency (ns)   |      87.72
  average dram queueing delay        |      34.29
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |         27
  num loads from dram cache          |          0
  num loads from remote cache        |          0
