                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   39047019 |   38691478 |   39020422 |   38578618 |   38921000 |   38688972 |   39033141 |   38674911
  Cycles                             |   30184882 |   30184882 |   30184882 |   30184882 |   30184882 |   30184882 |   30184882 |   30184882
  IPC                                |       1.29 |       1.28 |       1.29 |       1.28 |       1.29 |       1.28 |       1.29 |       1.28
  Time (ns)                          |   11347700 |   11347700 |   11347700 |   11347700 |   11347700 |   11347700 |   11347700 |   11347700
  Idle time (ns)                     |    2449943 |    2724407 |    2600501 |    2896780 |    2806807 |    2857255 |    2696609 |    2800919
  Idle time (%)                      |      21.6% |      24.0% |      22.9% |      25.5% |      24.7% |      25.2% |      23.8% |      24.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1953721 |    1917954 |    1939968 |    1899260 |    1932834 |    1918151 |    1951816 |    1905770
  num incorrect                      |      24094 |      24773 |      23131 |      23868 |      23330 |      24448 |      23953 |      24256
  misprediction rate                 |      1.22% |      1.28% |      1.18% |      1.24% |      1.19% |      1.26% |      1.21% |      1.26%
  mpki                               |       0.62 |       0.64 |       0.59 |       0.62 |       0.60 |       0.63 |       0.61 |       0.63
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3909975 |    3885799 |    3912630 |    3894227 |    3916489 |    3885571 |    3908153 |    3889804
    num misses                       |         64 |         56 |         62 |         58 |         62 |         48 |         61 |         58
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   14741102 |   14644308 |   14731524 |   14592815 |   14681905 |   14643353 |   14735103 |   14640367
    num misses                       |      28422 |      26763 |      25897 |      23278 |      26278 |      26826 |      26953 |      25177
    miss rate                        |      0.19% |      0.18% |      0.18% |      0.16% |      0.18% |      0.18% |      0.18% |      0.17%
    mpki                             |       0.73 |       0.69 |       0.66 |       0.60 |       0.68 |       0.69 |       0.69 |       0.65
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      28486 |      26819 |      25959 |      23336 |      26340 |      26874 |      27014 |      25235
    num misses                       |       7105 |       6761 |       6722 |       5903 |       6376 |       6603 |       6887 |       6351
    miss rate                        |     24.94% |     25.21% |     25.89% |     25.30% |     24.21% |     24.57% |     25.49% |     25.17%
    mpki                             |       0.18 |       0.17 |       0.17 |       0.15 |       0.16 |       0.17 |       0.18 |       0.16
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3909975 |    3885799 |    3912630 |    3894227 |    3916489 |    3885571 |    3908153 |    3889804
    num cache misses                 |       9115 |       8731 |      10176 |       9665 |       9687 |       8613 |       8824 |       9615
    miss rate                        |      0.23% |      0.22% |      0.26% |      0.25% |      0.25% |      0.22% |      0.23% |      0.25%
    mpki                             |       0.23 |       0.23 |       0.26 |       0.25 |       0.25 |       0.22 |       0.23 |       0.25
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   14741102 |   14644308 |   14731524 |   14592815 |   14681905 |   14643353 |   14735103 |   14640367
    num cache misses                 |    1306711 |    1300873 |    1291979 |    1290304 |    1293008 |    1298955 |    1302713 |    1290894
    miss rate                        |      8.86% |      8.88% |      8.77% |      8.84% |      8.81% |      8.87% |      8.84% |      8.82%
    mpki                             |      33.47 |      33.62 |      33.11 |      33.45 |      33.22 |      33.57 |      33.37 |      33.38
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1339760 |    1334370 |    1321181 |    1319821 |    1321388 |    1331988 |    1336514 |    1321157
    num cache misses                 |     495243 |     490632 |     497374 |     490931 |     494182 |     492240 |     492504 |     495404
    miss rate                        |     36.97% |     36.77% |     37.65% |     37.20% |     37.40% |     36.96% |     36.85% |     37.50%
    mpki                             |      12.68 |      12.68 |      12.75 |      12.73 |      12.70 |      12.72 |      12.62 |      12.81
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     521707 |     517531 |     518243 |     512945 |     514864 |     518873 |     520203 |     519073
    num cache misses                 |      48429 |      55219 |      59504 |      64984 |      60786 |      54612 |      49921 |      69088
    miss rate                        |      9.28% |     10.67% |     11.48% |     12.67% |     11.81% |     10.53% |      9.60% |     13.31%
    mpki                             |       1.24 |       1.43 |       1.52 |       1.68 |       1.56 |       1.41 |       1.28 |       1.79
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     147396 |          0 |          0 |          0 |     143269 |          0 |          0 |          0
  average dram access latency (ns)   |    5325.56 |        inf |        inf |        inf |    5320.07 |        inf |        inf |        inf
  average dram queueing delay        |    5272.13 |       0.00 |       0.00 |       0.00 |    5266.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00% |      0.00% |      0.00% |     10.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      11922 |      12148 |      13054 |      12265 |      13474 |      11854 |      14253 |      15280
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      12549 |      19108 |      22899 |      28606 |      22506 |      18596 |      11665 |      29837
