                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   43459105 |   43332391 |   43491037 |   43374130 |   43415915 |   43326570 |   43373242 |   43368996
  Cycles                             |   72159334 |   72159334 |   72159334 |   72159334 |   72159334 |   72159334 |   72159334 |   72159334
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   27127569 |   27127569 |   27127569 |   27127569 |   27127569 |   27127569 |   27127569 |   27127569
  Idle time (ns)                     |    7135398 |    7971766 |    7728170 |    7804865 |    4984693 |    4984466 |    6138014 |    8136978
  Idle time (%)                      |      26.3% |      29.4% |      28.5% |      28.8% |      18.4% |      18.4% |      22.6% |      30.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1926059 |    1912684 |    1924144 |    1923798 |    1923117 |    1911574 |    1911934 |    1911108
  num incorrect                      |      12596 |      11971 |      12462 |      12350 |      12561 |      11983 |      12069 |      12117
  misprediction rate                 |      0.65% |      0.62% |      0.64% |      0.64% |      0.65% |      0.62% |      0.63% |      0.63%
  mpki                               |       0.29 |       0.28 |       0.29 |       0.28 |       0.29 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    4370491 |    4360382 |    4373479 |    4370232 |    4374648 |    4359646 |    4364763 |    4364234
    num misses                       |         58 |         56 |         60 |         56 |         52 |         48 |         52 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   14816759 |   14772114 |   14831046 |   14777356 |   14795843 |   14769546 |   14791291 |   14789354
    num misses                       |    1379662 |    1430733 |    1421965 |    1420050 |    1420733 |    1419366 |    1429502 |    1379969
    miss rate                        |      9.31% |      9.69% |      9.59% |      9.61% |      9.60% |      9.61% |      9.66% |      9.33%
    mpki                             |      31.75 |      33.02 |      32.70 |      32.74 |      32.72 |      32.76 |      32.96 |      31.82
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1379720 |    1430789 |    1422025 |    1420106 |    1420785 |    1419414 |    1429554 |    1380021
    num misses                       |     123642 |     207688 |     207255 |     208231 |     208616 |     207374 |     206567 |     121957
    miss rate                        |      8.96% |     14.52% |     14.57% |     14.66% |     14.68% |     14.61% |     14.45% |      8.84%
    mpki                             |       2.85 |       4.79 |       4.77 |       4.80 |       4.81 |       4.79 |       4.76 |       2.81
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    4370491 |    4360382 |    4373479 |    4370232 |    4374648 |    4359646 |    4364763 |    4364234
    num cache misses                 |      13455 |      11014 |      10543 |       7671 |      11069 |      10084 |      10599 |      11816
    miss rate                        |      0.31% |      0.25% |      0.24% |      0.18% |      0.25% |      0.23% |      0.24% |      0.27%
    mpki                             |       0.31 |       0.25 |       0.24 |       0.18 |       0.25 |       0.23 |       0.24 |       0.27
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   14816759 |   14772114 |   14831046 |   14777356 |   14795843 |   14769546 |   14791291 |   14789354
    num cache misses                 |    2315906 |    2306164 |    2302485 |    2315015 |    2307732 |    2305553 |    2297889 |    2296064
    miss rate                        |     15.63% |     15.61% |     15.52% |     15.67% |     15.60% |     15.61% |     15.54% |     15.53%
    mpki                             |      53.29 |      53.22 |      52.94 |      53.37 |      53.15 |      53.21 |      52.98 |      52.94
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2351686 |    2352983 |    2339639 |    2355878 |    2361270 |    2350767 |    2339438 |    2345750
    num cache misses                 |    1184548 |    1182938 |    1169455 |    1195756 |    1181311 |    1182972 |    1165952 |    1169270
    miss rate                        |     50.37% |     50.27% |     49.98% |     50.76% |     50.03% |     50.32% |     49.84% |     49.85%
    mpki                             |      27.26 |      27.30 |      26.89 |      27.57 |      27.21 |      27.30 |      26.88 |      26.96
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1207915 |    1219248 |    1197265 |    1229290 |    1224569 |    1218470 |    1197835 |    1208526
    num cache misses                 |     199353 |     196451 |     160970 |     160747 |     277014 |     242180 |     213930 |     197772
    miss rate                        |     16.50% |     16.11% |     13.44% |     13.08% |     22.62% |     19.88% |     17.86% |     16.36%
    mpki                             |       4.59 |       4.53 |       3.70 |       3.71 |       6.38 |       5.59 |       4.93 |       4.56
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    1237036 |          0 |          0 |          0 |    1236496 |          0 |          0 |          0
  average dram access latency (ns)   |    4759.16 |        inf |        inf |        inf |    4731.07 |        inf |        inf |        inf
  average dram queueing delay        |    4705.74 |       0.00 |       0.00 |       0.00 |    4677.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     38.00% |      0.00% |      0.00% |      0.00% |     38.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     111753 |      86899 |      81478 |      63595 |     146689 |     137236 |     120372 |      83353
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       5050 |      37619 |      10753 |      37168 |      35562 |      18163 |       5460 |      40991
