                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5911858 |    5918141 |    5865989 |    5886494 |    5880201 |    5906862 |    5879773 |    5893573
  Cycles                             |   13107150 |   13107150 |   13107150 |   13107150 |   13107150 |   13107150 |   13107150 |   13107150
  IPC                                |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45
  Time (ns)                          |    4927500 |    4927500 |    4927500 |    4927500 |    4927500 |    4927500 |    4927500 |    4927500
  Idle time (ns)                     |      48719 |      50250 |      78011 |      68723 |      74998 |      58908 |      72202 |      67363
  Idle time (%)                      |       1.0% |       1.0% |       1.6% |       1.4% |       1.5% |       1.2% |       1.5% |       1.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     180362 |     181594 |     174353 |     176894 |     176348 |     179494 |     176255 |     178230
  num incorrect                      |        445 |        323 |        286 |        314 |        283 |        310 |        297 |        290
  misprediction rate                 |      0.25% |      0.18% |      0.16% |      0.18% |      0.16% |      0.17% |      0.17% |      0.16%
  mpki                               |       0.08 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     462842 |     460633 |     460445 |     461534 |     460419 |     462598 |     460369 |     460282
    num misses                       |         36 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     642921 |     646620 |     618269 |     629375 |     626043 |     640736 |     625822 |     633745
    num misses                       |      48912 |      49092 |      48820 |      48768 |      48890 |      48816 |      48873 |      48642
    miss rate                        |      7.61% |      7.59% |      7.90% |      7.75% |      7.81% |      7.62% |      7.81% |      7.68%
    mpki                             |       8.27 |       8.30 |       8.32 |       8.28 |       8.31 |       8.26 |       8.31 |       8.25
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      48948 |      49132 |      48860 |      48808 |      48930 |      48856 |      48913 |      48682
    num misses                       |       3234 |       3245 |       3157 |       3222 |       3181 |       3165 |       3121 |       3142
    miss rate                        |      6.61% |      6.60% |      6.46% |      6.60% |      6.50% |      6.48% |      6.38% |      6.45%
    mpki                             |       0.55 |       0.55 |       0.54 |       0.55 |       0.54 |       0.54 |       0.53 |       0.53
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     462842 |     460633 |     460445 |     461534 |     460419 |     462598 |     460369 |     460282
    num cache misses                 |        536 |        494 |        473 |        451 |        414 |        463 |        442 |        426
    miss rate                        |      0.12% |      0.11% |      0.10% |      0.10% |      0.09% |      0.10% |      0.10% |      0.09%
    mpki                             |       0.09 |       0.08 |       0.08 |       0.08 |       0.07 |       0.08 |       0.08 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     642921 |     646620 |     618269 |     629375 |     626043 |     640736 |     625822 |     633745
    num cache misses                 |      38696 |      38929 |      37625 |      38275 |      38047 |      39010 |      37617 |      38068
    miss rate                        |      6.02% |      6.02% |      6.09% |      6.08% |      6.08% |      6.09% |      6.01% |      6.01%
    mpki                             |       6.55 |       6.58 |       6.41 |       6.50 |       6.47 |       6.60 |       6.40 |       6.46
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      39415 |      39452 |      38264 |      38877 |      38622 |      39632 |      38220 |      38654
    num cache misses                 |      14072 |      14324 |      12898 |      13630 |      12989 |      14333 |      12937 |      13122
    miss rate                        |     35.70% |     36.31% |     33.71% |     35.06% |     33.63% |     36.17% |     33.85% |     33.95%
    mpki                             |       2.38 |       2.42 |       2.20 |       2.32 |       2.21 |       2.43 |       2.20 |       2.23
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      14259 |      14353 |      13063 |      13783 |      13150 |      14494 |      13096 |      13282
    num cache misses                 |       9227 |       7421 |       6853 |       8514 |       6996 |       7473 |       8444 |       8433
    miss rate                        |     64.71% |     51.70% |     52.46% |     61.77% |     53.20% |     51.56% |     64.48% |     63.49%
    mpki                             |       1.56 |       1.25 |       1.17 |       1.45 |       1.19 |       1.27 |       1.44 |       1.43
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      18759 |          0 |          0 |          0 |      18709 |          0 |          0 |          0
  average dram access latency (ns)   |   11315.31 |        inf |        inf |        inf |   10943.24 |        inf |        inf |        inf
  average dram queueing delay        |   11261.88 |       0.00 |       0.00 |       0.00 |   10889.81 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        559 |        470 |        313 |        435 |        293 |        433 |        286 |        325
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2340 |       1716 |       1278 |       2030 |       1320 |       1724 |       1969 |       2014
