                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   53499087 |   56430113 |   57912462 |   53504302 |   53503309 |   53509237 |   53425394 |   54936398
  Cycles                             |   46148859 |   46148859 |   46148859 |   46148859 |   46148859 |   46148859 |   46148859 |   46148859
  IPC                                |       1.16 |       1.22 |       1.25 |       1.16 |       1.16 |       1.16 |       1.16 |       1.19
  Time (ns)                          |   17349195 |   17349195 |   17349195 |   17349195 |   17349195 |   17349195 |   17349195 |   17349195
  Idle time (ns)                     |    3350287 |    1286610 |      87254 |    3396705 |    3316745 |    3633670 |    3620937 |    2503678
  Idle time (%)                      |      19.3% |       7.4% |       0.5% |      19.6% |      19.1% |      20.9% |      20.9% |      14.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    4903410 |    5380245 |    5605655 |    4908935 |    4906218 |    4929683 |    4926613 |    5160709
  num incorrect                      |     324460 |     421068 |     487432 |     319886 |     322434 |     300715 |     296790 |     353622
  misprediction rate                 |      6.21% |      7.26% |      8.00% |      6.12% |      6.17% |      5.75% |      5.68% |      6.41%
  mpki                               |       6.06 |       7.46 |       8.42 |       5.98 |       6.03 |       5.62 |       5.56 |       6.44
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5926521 |    5924944 |    5920561 |    5923767 |    5925131 |    5923892 |    5924411 |    5923969
    num misses                       |         64 |         44 |         45 |         45 |         45 |         45 |         52 |         44
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   21713075 |   22261927 |   22553646 |   21711459 |   21711789 |   21712263 |   21636626 |   21951206
    num misses                       |      48027 |      49673 |      47751 |      49146 |      48230 |      49771 |      49897 |      48293
    miss rate                        |      0.22% |      0.22% |      0.21% |      0.23% |      0.22% |      0.23% |      0.23% |      0.22%
    mpki                             |       0.90 |       0.88 |       0.82 |       0.92 |       0.90 |       0.93 |       0.93 |       0.88
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      48091 |      49717 |      47796 |      49191 |      48275 |      49816 |      49949 |      48337
    num misses                       |      21177 |      20562 |      20421 |      21411 |      21310 |      21592 |      20875 |      20768
    miss rate                        |     44.04% |     41.36% |     42.73% |     43.53% |     44.14% |     43.34% |     41.79% |     42.97%
    mpki                             |       0.40 |       0.36 |       0.35 |       0.40 |       0.40 |       0.40 |       0.39 |       0.38
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5926521 |    5924944 |    5920561 |    5923767 |    5925131 |    5923892 |    5924411 |    5923969
    num cache misses                 |       2476 |       1965 |       2018 |       1837 |       1838 |       1961 |       2057 |       1896
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.05 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21713075 |   22261927 |   22553646 |   21711459 |   21711789 |   21712263 |   21636626 |   21951206
    num cache misses                 |     264170 |     262503 |     256008 |     262270 |     262140 |     262859 |     261562 |     261265
    miss rate                        |      1.22% |      1.18% |      1.14% |      1.21% |      1.21% |      1.21% |      1.21% |      1.19%
    mpki                             |       4.94 |       4.65 |       4.42 |       4.90 |       4.90 |       4.91 |       4.90 |       4.76
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     271442 |     269716 |     262087 |     269546 |     270017 |     269832 |     269352 |     268026
    num cache misses                 |      46141 |      45871 |      45045 |      45956 |      46265 |      45947 |      46288 |      45505
    miss rate                        |     17.00% |     17.01% |     17.19% |     17.05% |     17.13% |     17.03% |     17.18% |     16.98%
    mpki                             |       0.86 |       0.81 |       0.78 |       0.86 |       0.86 |       0.86 |       0.87 |       0.83
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      50940 |      51118 |      49104 |      51395 |      52304 |      50959 |      52021 |      50368
    num cache misses                 |      19267 |      19435 |      14465 |      21688 |      21349 |      18661 |      19635 |      20299
    miss rate                        |     37.82% |     38.02% |     29.46% |     42.20% |     40.82% |     36.62% |     37.74% |     40.30%
    mpki                             |       0.36 |       0.34 |       0.25 |       0.41 |       0.40 |       0.35 |       0.37 |       0.37
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     196649 |          0 |          0 |          0 |       2525 |          0 |          0 |          0
  average dram access latency (ns)   |    1206.08 |        inf |        inf |        inf |      64.20 |        inf |        inf |        inf
  average dram queueing delay        |    1152.65 |       0.00 |       0.00 |       0.00 |      10.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       9936 |       9789 |      10157 |       9501 |      10959 |       9714 |      10514 |      10649
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1908 |       2856 |        125 |       5173 |       3353 |       2105 |       2106 |       4071
